2019-11-28 18:39:54 INFO  Server:59 - Message sanded
2019-11-28 18:40:04 INFO  Server:59 - Message sanded
2019-11-28 18:40:04 INFO  Server:59 - Message sanded
2019-11-29 13:20:01 INFO  Server:62 - server.Server started working...
2019-11-29 13:20:02 INFO  Server:47 - Sender started
2019-11-29 13:21:15 INFO  Server:62 - server.Server started working...
2019-11-29 13:21:16 INFO  Server:47 - Sender started
2019-11-29 13:21:35 INFO  Server:62 - server.Server started working...
2019-11-29 13:21:36 INFO  Server:47 - Sender started
2019-11-29 13:21:58 INFO  Server:62 - server.Server started working...
2019-11-29 13:21:59 INFO  Server:47 - Sender started
2019-11-29 13:23:05 INFO  Server:62 - server.Server started working...
2019-11-29 13:23:05 INFO  Server:47 - Sender started
2019-11-29 13:23:59 INFO  Server:62 - server.Server started working...
2019-11-29 13:24:00 INFO  Server:48 - Sender started
2019-11-29 13:24:31 INFO  Server:62 - server.Server started working...
2019-11-29 13:24:59 INFO  Server:62 - server.Server started working...
2019-11-29 13:25:18 INFO  Server:62 - server.Server started working...
2019-11-29 13:25:18 INFO  Server:48 - Sender started
2019-11-29 13:27:34 INFO  Server:62 - server.Server started working...
2019-11-29 13:27:34 INFO  Server:48 - Sender started
2019-11-29 13:29:22 INFO  Server:62 - Server started working...
2019-11-29 13:29:23 INFO  Server:48 - Sender started
2019-11-29 13:32:32 INFO  Server:62 - Server started working...
2019-11-29 13:32:33 INFO  Server:48 - Sender started
2019-11-29 13:32:35 INFO  Client:61 - Client Client 2 started working
2019-11-29 13:32:37 INFO  Server:26 - Client registered /127.0.0.1:51540
2019-11-29 13:32:46 INFO  Client:61 - Client Client 0 started working
2019-11-29 13:32:49 INFO  Server:26 - Client registered /127.0.0.1:51579
2019-11-29 13:32:49 INFO  Server:60 - Message sanded
2019-11-29 13:32:49 INFO  Server:60 - Message sanded
2019-11-29 13:32:59 INFO  Server:60 - Message sanded
2019-11-29 13:32:59 INFO  Server:60 - Message sanded
2019-11-29 13:33:09 INFO  Server:60 - Message sanded
2019-11-29 13:33:09 INFO  Server:60 - Message sanded
2019-11-29 13:33:22 INFO  Server:62 - Server started working...
2019-11-29 13:33:23 INFO  Server:48 - Sender started
2019-11-29 13:33:31 INFO  Server:62 - Server started working...
2019-11-29 13:33:32 INFO  Server:48 - Sender started
2019-11-29 13:33:33 INFO  Client:61 - Client Client 0 started working
2019-11-29 13:33:36 INFO  Server:26 - Client registered /127.0.0.1:51763
2019-11-29 13:33:36 INFO  Client:61 - Client Client 2 started working
2019-11-29 13:33:38 INFO  Server:26 - Client registered /127.0.0.1:51801
2019-11-29 13:33:42 INFO  Server:60 - Message sanded
2019-11-29 13:33:42 INFO  Server:60 - Message sanded
2019-11-29 13:34:18 INFO  Server:62 - Server started working...
2019-11-29 13:34:19 INFO  Server:48 - Sender started
2019-11-29 13:34:20 INFO  Client:61 - Client Client 0 started working
2019-11-29 13:34:23 INFO  Client:61 - Client Client 0 started working
2019-11-29 13:34:23 INFO  Server:26 - Client registered /127.0.0.1:51914
2019-11-29 13:34:25 INFO  Server:26 - Client registered /127.0.0.1:51948
2019-11-29 13:34:29 INFO  Server:60 - Message sanded
2019-11-29 13:34:29 INFO  Server:60 - Message sanded
2019-11-29 13:34:39 INFO  Server:60 - Message sanded
2019-11-29 13:34:39 INFO  Server:60 - Message sanded
2019-11-29 13:41:50 INFO  Server:62 - Server started working...
2019-11-29 13:41:51 INFO  Server:48 - Sender started
2019-11-29 13:41:52 INFO  Client:61 - Client Client 0 started working
2019-11-29 13:41:54 INFO  Client:61 - Client Client 0 started working
2019-11-29 13:41:54 INFO  Server:26 - Client registered /127.0.0.1:52076
2019-11-29 13:41:57 INFO  Server:26 - Client registered /127.0.0.1:52112
2019-11-29 13:42:01 INFO  Server:60 - Message sanded
2019-11-29 13:42:01 INFO  Server:60 - Message sanded
2019-11-29 13:42:11 INFO  Server:60 - Message sanded
2019-11-29 13:42:11 INFO  Server:60 - Message sanded
2019-11-29 13:42:21 INFO  Server:60 - Message sanded
2019-11-29 13:42:21 INFO  Server:60 - Message sanded
2019-11-29 13:42:31 INFO  Server:60 - Message sanded
2019-11-29 13:42:31 INFO  Server:60 - Message sanded
2019-11-29 13:42:46 INFO  Server:62 - Server started working...
2019-11-29 13:42:47 INFO  Server:48 - Sender started
2019-11-29 13:42:48 INFO  Client:61 - Client Client 1 started working
2019-11-29 13:42:50 INFO  Server:26 - Client registered /127.0.0.1:52221
2019-11-29 13:42:50 INFO  Client:61 - Client Client 2 started working
2019-11-29 13:42:53 INFO  Server:26 - Client registered /127.0.0.1:52257
2019-11-29 13:42:57 INFO  Server:60 - Message sanded
2019-11-29 13:42:57 INFO  Server:60 - Message sanded
2019-11-29 13:44:46 INFO  Server:62 - Server started working...
2019-11-29 13:44:46 INFO  Server:48 - Sender started
2019-11-29 13:45:06 INFO  Client:61 - Client Client 1 started working
2019-11-29 13:45:09 INFO  Client:61 - Client Client 2 started working
2019-11-29 13:45:09 INFO  Server:26 - Client registered /127.0.0.1:52370
2019-11-29 13:45:11 INFO  Server:26 - Client registered /127.0.0.1:52404
2019-11-29 13:45:11 INFO  Server:60 - Message sanded
2019-11-29 13:45:11 INFO  Server:60 - Message sanded
2019-11-29 13:45:11 INFO  Server:33 - Client unregistered /127.0.0.1:52404
2019-11-29 13:45:43 INFO  Server:62 - Server started working...
2019-11-29 13:45:44 INFO  Server:48 - Sender started
2019-11-29 13:45:45 INFO  Client:61 - Client Client 1 started working
